1	978756	12935077	979148  	1140141	20210507	20210507	103851	0				1	BUREAU
2	969374	12934859	978930  	1130359	20210507	20210507	113308	109				1	BUREAU
3	959979	12934856	978927  	1120508	20210507	20210507	133541	0				1	BUREAU
4	970044	12934855	978926  	1131030	20210507	20210507	113318	13				1	BUREAU
5	985528	12934854	978925  	1147184	20210507	20210507	112303	55				1	BUREAU
6	970832	12934751	978822  	1131874	20210507	20210507	123011	160				1	BUREAU
7	966142	12934750	978821  	1126884	20210507	20210507	142035	440				1	BUREAU
8	959697	12934749	978820  	1120226	20210507	20210507	123157	196				1	BUREAU
9	972731	12934748	978819  	1133876	20210507	20210507	142051	585				1	BUREAU
10	959972	12934747	978818  	1120501	20210507	20210507	123202	78				1	BUREAU
11	958860	12900369	968030  	1119334	20210507	20210507	113706	0				1	BUREAU
12	971095	12899915	967576  	1132137	20210507	20210507	114211	0				1	BUREAU
13	960735	12899912	967573  	1121292	20210507	20210507	114230	46				1	BUREAU
14	971034	12899873	967534  	1132076	20210507	20210507	122430	254				1	BUREAU
15	1175010	13027853	1011663 	1345876	20210507	20210507	111701	212				1	BUREAU
16	1083109	13026957	1010767 	1249434	20210507	20210507	092823	1				1	BUREAU
17	1093617	13009099	1004233 	1260399	20210507	20210507	125754	63				1	BUREAU
18	1082853	13008418	1003942 	1249176	20210507	20210507	091854	11				1	BUREAU
19	1082850	13008415	1003939 	1249172	20210507	20210507	091830	133				1	BUREAU
20	1139647	12977926	992772  	1308753	20210507	20210507	124958	282				1	BUREAU
21	1139353	12977922	992768  	1308459	20210507	20210507	125030	0				1	BUREAU
22	971165	12975966	990813  	1132207	20210507	20210507	114035	0				1	BUREAU
23	1147357	12973415	988262  	1316753	20210507	20210507	094906	233				1	BUREAU
24	1126057	12947029	986003  	1294493	20210507	20210507	092615	0				1	BUREAU
25	1126066	12947028	986002  	1294502	20210507	20210507	092645	295				1	BUREAU
26	1126053	12947026	986000  	1294489	20210507	20210507	092636	201				1	BUREAU
27	1096625	12946886	985860  	1263543	20210507	20210507	110820	113				1	BUREAU
28	1096619	12946883	985857  	1263537	20210507	20210507	110829	154				1	BUREAU
29	959998	12934746	978817  	1120527	20210507	20210507	123213	144				1	BUREAU
30	979146	12934745	978816  	1140532	20210507	20210507	122226	252				1	BUREAU
31	979025	12934744	978815  	1140411	20210507	20210507	104109	373				1	BUREAU
32	977201	12934743	978814  	1138533	20210507	20210507	141552	5				1	BUREAU
33	979212	12934742	978813  	1140599	20210507	20210507	122220	320				1	BUREAU
34	958973	12934741	978812  	1119450	20210507	20210507	142425	319				1	BUREAU
35	1168710	12945589	984563  	1339184	20210507	20210507	104237	649				1	BUREAU
36	1148258	12943748	982768  	1317690	20210507	20210507	133839	259				1	BUREAU
37	1137440	12943370	982390  	1306528	20210507	20210507	124544	70				1	BUREAU
38	1137279	12943367	982387  	1306366	20210507	20210507	124558	0				1	BUREAU
39	978712	12937193	981264  	1140097	20210507	20210507	132412	26				1	BUREAU
40	963719	12937190	981261  	1124365	20210507	20210507	104435	17				1	BUREAU
41	1008926	12937151	981222  	1171683	20210507	20210507	133138	21				1	BUREAU
42	969892	12936773	980844  	1130878	20210507	20210507	141609	174				1	BUREAU
43	977036	12936772	980843  	1138368	20210507	20210507	142132	169				1	BUREAU
44	959712	12936771	980842  	1120241	20210507	20210507	115724	350				1	BUREAU
45	969536	12936770	980841  	1130520	20210507	20210507	141130	106				1	BUREAU
46	1142502	12978058	992904  	1311704	20210507	20210507	091745	50				1	BUREAU
47	1142495	12978056	992902  	1311697	20210507	20210507	091802	189				1	BUREAU
48	1086322	12975477	990324  	1252778	20210507	20210507	091651	0				1	BUREAU
49	1018549	12975341	990188  	1181898	20210507	20210507	094526	42				1	BUREAU
50	1018532	12975340	990187  	1181880	20210507	20210507	094545	292				1	BUREAU
51	1126404	12947027	986001  	1294840	20210507	20210507	120606	0				1	BUREAU
52	1126407	12947025	985999  	1294843	20210507	20210507	120624	0				1	BUREAU
53	1088245	12946434	985408  	1254820	20210507	20210507	110139	0				1	BUREAU
54	1088250	12946431	985405  	1254825	20210507	20210507	110200	324				1	BUREAU
55	1096414	12946361	985335  	1263314	20210507	20210507	123232	0				1	BUREAU
56	1082878	12937186	981257  	1249200	20210507	20210507	130657	60				1	BUREAU
57	1082881	12937184	981255  	1249203	20210507	20210507	130714	97				1	BUREAU
58	1100662	12936979	981050  	1267956	20210507	20210507	104407	549				1	BUREAU
59	1035856	12936431	980502  	1200048	20210507	20210507	092559	200				1	BUREAU
60	1088211	12936239	980310  	1254785	20210507	20210507	112328	3				1	BUREAU
61	1088220	12936237	980308  	1254795	20210507	20210507	112425	10				1	BUREAU
62	1088216	12936236	980307  	1254790	20210507	20210507	112350	3				1	BUREAU
63	1083375	12830039	942872  	1249726	20210507	20210507	133303	2				1	BUREAU
64	1084607	12830038	942871  	1251031	20210507	20210507	132728	29				1	BUREAU
65	1084586	12830037	942870  	1251010	20210507	20210507	121952	52				1	BUREAU
66	1095095	12830036	942869  	1261985	20210507	20210507	114054	261				1	BUREAU
67	1090767	12830035	942868  	1257557	20210507	20210507	111356	129				1	BUREAU
68	1088757	12830034	942867  	1255347	20210507	20210507	094844	548				1	BUREAU
69	1088887	12830033	942866  	1255506	20210507	20210507	114243	187				1	BUREAU
70	1083419	12830032	942865  	1249770	20210507	20210507	111512	230				1	BUREAU
71	1084927	12830007	942840  	1251368	20210507	20210507	125645	23				1	BUREAU
72	1084952	12830006	942839  	1251394	20210507	20210507	125529	259				1	BUREAU
73	1085693	12830005	942838  	1252141	20210507	20210507	125603	0				1	BUREAU
74	1084988	12830004	942837  	1251430	20210507	20210507	125538	198				1	BUREAU
75	1082306	12830001	942834  	1248615	20210507	20210507	132251	0				1	BUREAU
76	1082598	12830000	942833  	1248911	20210507	20210507	132234	547				1	BUREAU
77	1090369	12829999	942832  	1257188	20210507	20210507	130435	179				1	BUREAU
78	1090649	12829998	942831  	1257439	20210507	20210507	130442	26				1	BUREAU
79	1079766	12829995	942828  	1245990	20210507	20210507	115618	0				1	BUREAU
80	1094277	12877379	960663  	1261496	20210507	20210507	075940	277				1	BUREAU
81	1094267	12877381	960665  	1261486	20210507	20210507	080020	17				1	BUREAU
82	1050111	12877499	960783  	1214855	20210507	20210507	102400	582				1	BUREAU
83	1063237	12877501	960785  	1228753	20210507	20210507	095348	154				1	BUREAU
